Location,Population,%_ofworld,Date
World,8119000000,100%,01-Jul-24
China,1409670000,17.30%,31-Dec-23
India,1404910000,17.30%,31-Dec-23
United States,335893238,4.10%,01-Jan-24
Indonesia,281603800,3.50%,01-Jul-24
Pakistan,241499431,3.00%,01-Mar-23
Nigeria,223800000,2.80%,01-Jul-23
Brazil,203080756,2.50%,01-Aug-22
Bangladesh,169828911,2.10%,14-Jun-22
Russia,146150789,1.80%,01-Jan-24
Mexico,129940228,1.60%,30-Jun-24
Japan,123780000,1.50%,01-Sep-24
Philippines,114163719,1.40%,01-Jul-24
Ethiopia,109499000,1.30%,01-Jul-24
Egypt,105914499,1.30%,01-Jan-24
Democratic Republic of the Congo,105247000,1.30%,01-Jul-21
Vietnam,100300000,1.20%,Jul-23
Turkey,85372377,1.00%,31-Dec-23
Iran,85000000,1.00%,16-May-23
Germany,84708010,1.00%,30-Jun-24
France,68513000,0.80%,01-Sep-24
United Kingdom,67596281,0.80%,Jun-22
Thailand,65969270,0.80%,01-Sep-24
South Africa,63015904,0.80%,30-Jul-24
Tanzania,61741120,0.80%,23-Aug-22
Italy,58979364,0.70%,30-Jun-24
Myanmar,56712559,0.70%,01-Jul-24
Colombia,52695952,0.60%,01-Jan-24
Kenya,52428290,0.60%,01-Jan-24
South Korea,51265238,0.60%,31-Jul-24
Sudan,50448963,0.60%,01-Jul-24
Spain,48797875,0.60%,01-Jul-24
Argentina,47067441,0.60%,01-Jul-24
Algeria,46700000,0.60%,01-Jan-24
Uganda,45935046,0.60%,10-May-24
Iraq,44414800,0.50%,01-Jul-24
Canada,41288599,0.50%,01-Jul-24
Poland,37552000,0.50%,31-Jul-24
Morocco,37369652,0.50%,01-Jul-24
Uzbekistan,36963262,0.50%,01-Apr-24
Ukraine,36700000,0.50%,01-Jul-23
Angola,35121734,0.40%,01-Jun-24
Afghanistan,34262840,0.40%,01-Jan-23
Peru,34038457,0.40%,01-Jul-24
Malaysia,33980600,0.40%,31-Mar-24
Mozambique,32419747,0.40%,01-Jul-22
Saudi Arabia,32175224,0.40%,10-May-22
Yemen,31888698,0.40%,01-Jul-22
Ghana,30832019,0.40%,27-Jun-21
Madagascar,30811969,0.40%,01-Jul-24
Ivory Coast,29389150,0.40%,14-Dec-21
Nepal,29164578,0.40%,25-Nov-21
Cameroon,28758503,0.40%,01-Jul-24
Venezuela,28405543,0.30%,01-Jul-24
Australia,27122411,0.30%,31-Mar-24
Niger,26312034,0.30%,01-Jul-24
North Korea,25950000,0.30%,01-Jul-21
Syria,24672760,0.30%,01-Jul-24
Burkina Faso,23409015,0.30%,01-Jul-24
Taiwan,23406608,0.30%,31-Aug-24
Mali,22395489,0.30%,15-Jun-22
Sri Lanka,21916000,0.30%,01-Jul-24
Malawi,20270568,0.20%,01-Jul-24
Kazakhstan,20201849,0.20%,01-Sep-24
Chile,20086377,0.20%,30-Jun-24
Zambia,19610769,0.20%,14-Sep-22
Romania,19064409,0.20%,01-Jan-24
Chad,18675547,0.20%,01-Jul-24
Somalia,18143379,0.20%,01-Jul-23
Senegal,18126390,0.20%,15-May-23
Netherlands,18005142,0.20%,31-Aug-24
Guatemala,17843132,0.20%,01-Jul-24
Cambodia,17336307,0.20%,01-Jul-24
Ecuador,16938986,0.20%,01-Oct-22
Zimbabwe,15178979,0.20%,20-Apr-22
South Sudan,14746494,0.20%,01-Jul-23
Rwanda,13798561,0.20%,01-Jul-24
Guinea,13261638,0.20%,01-Jul-22
Benin,12910087,0.20%,01-Jul-24
Burundi,12837740,0.20%,01-Jul-22
Bolivia,12006031,0.10%,01-Jul-22
Tunisia,11850232,0.10%,01-Jan-23
Belgium,11839987,0.10%,01-Aug-24
Papua New Guinea,11781559,0.10%,01-Jul-21
Haiti,11743017,0.10%,01-Jul-20
Jordan,11516000,0.10%,31-Dec-23
Cuba,11089511,0.10%,31-Dec-22
Czech Republic,10879069,0.10%,30-Jun-24
Dominican Republic,10760028,0.10%,10-Nov-22
Portugal,10639726,0.10%,31-Dec-23
Sweden,10564484,0.10%,31-Jul-24
Greece,10413982,0.10%,01-Jan-23
United Arab Emirates,10288946,0.10%,31-Dec-22
Tajikistan,10277100,0.10%,01-Jan-24
Azerbaijan,10200013,0.10%,01-Jul-24
Israel,9934800,0.10%,31-Jul-24
Honduras,9892632,0.10%,01-Jul-24
Hungary,9584627,0.10%,01-Jan-24
Austria,9179693,0.10%,01-Jul-24
Belarus,9155978,0.10%,01-Jan-24
Switzerland,9002763,0.10%,30-Jun-24
Sierra Leone,8494260,0.10%,01-Jul-22
Togo,8095498,0.10%,08-Nov-22
Hong Kong(China),7531800,0.09%,30-Jun-24
Laos,7443000,0.09%,01-Jul-22
Libya,7381023,0.09%,01-Jul-24
Kyrgyzstan,7100000,0.09%,01-Mar-23
Turkmenistan,7057841,0.09%,17-Dec-22
El Salvador,6884888,0.08%,01-Jul-22
Nicaragua,6803886,0.08%,30-Jun-23
