Location,Population,%_ofworld,Date,Continent
World,8119000000,100%,01-Jul-24,Global
China,1409670000,17.30%,31-Dec-23,Asia
India,1404910000,17.30%,31-Dec-23,Asia
United States,335893238,4.10%,01-Jan-24,North America
Indonesia,281603800,3.50%,01-Jul-24,Asia
Pakistan,241499431,3.00%,01-Mar-23,Asia
Nigeria,223800000,2.80%,01-Jul-23,Africa
Brazil,203080756,2.50%,01-Aug-22,South America
Bangladesh,169828911,2.10%,14-Jun-22,Asia
Russia,146150789,1.80%,01-Jan-24,Europe
Mexico,129940228,1.60%,30-Jun-24,North America
Japan,123780000,1.50%,01-Sep-24,Asia
Philippines,114163719,1.40%,01-Jul-24,Asia
Ethiopia,109499000,1.30%,01-Jul-24,Africa
Egypt,105914499,1.30%,01-Jan-24,Africa
Democratic Republic of the Congo,105247000,1.30%,01-Jul-21,Africa
Vietnam,100300000,1.20%,Jul-23,Asia
Turkey,85372377,1.00%,31-Dec-23,Asia
Iran,85000000,1.00%,16-May-23,Asia
Germany,84708010,1.00%,30-Jun-24,Europe
France,68513000,0.80%,01-Sep-24,Europe
United Kingdom,67596281,0.80%,Jun-22,Europe
Thailand,65969270,0.80%,01-Sep-24,Asia
South Africa,63015904,0.80%,30-Jul-24,Africa
Tanzania,61741120,0.80%,23-Aug-22,Africa
Italy,58979364,0.70%,30-Jun-24,Europe
Myanmar,56712559,0.70%,01-Jul-24,Asia
Colombia,52695952,0.60%,01-Jan-24,South America
Kenya,52428290,0.60%,01-Jan-24,Africa
South Korea,51265238,0.60%,31-Jul-24,Asia
Sudan,50448963,0.60%,01-Jul-24,Africa
Spain,48797875,0.60%,01-Jul-24,Europe
Argentina,47067441,0.60%,01-Jul-24,South America
Algeria,46700000,0.60%,01-Jan-24,Africa
Uganda,45935046,0.60%,10-May-24,Africa
Iraq,44414800,0.50%,01-Jul-24,Asia
Canada,41288599,0.50%,01-Jul-24,North America
Poland,37552000,0.50%,31-Jul-24,Europe
Morocco,37369652,0.50%,01-Jul-24,Africa
Uzbekistan,36963262,0.50%,01-Apr-24,Asia
Ukraine,36700000,0.50%,01-Jul-23,Europe
Angola,35121734,0.40%,01-Jun-24,Africa
Afghanistan,34262840,0.40%,01-Jan-23,Asia
Peru,34038457,0.40%,01-Jul-24,South America
Malaysia,33980600,0.40%,31-Mar-24,Asia
Mozambique,32419747,0.40%,01-Jul-22,Africa
Saudi Arabia,32175224,0.40%,10-May-22,Asia
Yemen,31888698,0.40%,01-Jul-22,Asia
Ghana,30832019,0.40%,27-Jun-21,Africa
Madagascar,30811969,0.40%,01-Jul-24,Africa
Ivory Coast,29389150,0.40%,14-Dec-21,Africa
Nepal,29164578,0.40%,25-Nov-21,Asia
Cameroon,28758503,0.40%,01-Jul-24,Africa
Venezuela,28405543,0.30%,01-Jul-24,South America
Australia,27122411,0.30%,31-Mar-24,Australia
Niger,26312034,0.30%,01-Jul-24,Africa
North Korea,25950000,0.30%,01-Jul-21,Asia
Syria,24672760,0.30%,01-Jul-24,Asia
Burkina Faso,23409015,0.30%,01-Jul-24,Africa
Taiwan,23406608,0.30%,31-Aug-24,Asia
Mali,22395489,0.30%,15-Jun-22,Africa
